Intrinsic,LLC_W_R,LLC_C
_pc_load_b,8,0
_pc_load_w,16,0
_pc_load_dw,32,0
_pc_load_qw,64,0
_pc_load_hf,16,0
_pc_load_f,32,0
_pc_load_df,64,0
_pc_load1_b,8,0
_pc_load1_w,16,0
_pc_load1_dw,32,0
_pc_load1_qw,64,0
_pc_load1_hf,16,0
_pc_load1_f,32,0
_pc_load1_df,64,0
_pc_store_b,8,0
_pc_store_w,16,0
_pc_store_dw,32,0
_pc_store_qw,64,0
_pc_store_hf,16,0
_pc_store_f,32,0
_pc_store_df,64,0
_pc_add_b,0,8
_pc_add_w,0,16
_pc_add_dw,0,32
_pc_add_qw,0,64
_pc_add_hf,0,135
_pc_add_f,0,351
_pc_add_df,0,902
_pc_mul_b,0,42
_pc_mul_w,0,152
_pc_mul_dw,0,560
_pc_mul_qw,0,2144
_pc_mul_hf,0,90
_pc_mul_f,0,346
_pc_mul_df,0,1463
_pc_min_b,24,8
_pc_min_w,48,16
_pc_min_dw,96,32
_pc_min_qw,192,64
_pc_min_hf,48,16
_pc_min_f,96,32
_pc_min_df,192,64
_pc_max_b,24,8
_pc_max_w,48,16
_pc_max_dw,96,32
_pc_max_qw,192,64
_pc_max_hf,48,16
_pc_max_f,96,32
_pc_max_df,192,64
_pc_set1_b,8,0
_pc_set1_w,16,0
_pc_set1_dw,32,0
_pc_set1_qw,64,0
_pc_set1_hf,16,0
_pc_set1_f,32,0
_pc_set1_df,64,0
_pc_move_b,8,0
_pc_move_w,16,0
_pc_move_dw,32,0
_pc_move_qw,64,0
_pc_move_hf,16,0
_pc_move_f,32,0
_pc_move_df,64,0
_pc2_load_b,8,0
_pc2_load_w,16,0
_pc2_load_dw,32,0
_pc2_load_qw,64,0
_pc2_load_hf,16,0
_pc2_load_f,32,0
_pc2_load_df,64,0
_pc2_load1_b,8,0
_pc2_load1_w,16,0
_pc2_load1_dw,32,0
_pc2_load1_qw,64,0
_pc2_load1_hf,16,0
_pc2_load1_f,32,0
_pc2_load1_df,64,0
_pc2_store_b,8,0
_pc2_store_w,16,0
_pc2_store_dw,32,0
_pc2_store_qw,64,0
_pc2_store_hf,16,0
_pc2_store_f,32,0
_pc2_store_df,64,0
_pc2_add_b,0,8
_pc2_add_w,0,16
_pc2_add_dw,0,32
_pc2_add_qw,0,64
_pc2_add_hf,0,135
_pc2_add_f,0,351
_pc2_add_df,0,902
_pc2_mul_b,0,42
_pc2_mul_w,0,152
_pc2_mul_dw,0,560
_pc2_mul_qw,0,2144
_pc2_mul_hf,0,90
_pc2_mul_f,0,346
_pc2_mul_df,0,1463
_pc2_min_b,24,8
_pc2_min_w,48,16
_pc2_min_dw,96,32
_pc2_min_qw,192,64
_pc2_min_hf,48,16
_pc2_min_f,96,32
_pc2_min_df,192,64
_pc2_max_b,24,8
_pc2_max_w,48,16
_pc2_max_dw,96,32
_pc2_max_qw,192,64
_pc2_max_hf,48,16
_pc2_max_f,96,32
_pc2_max_df,192,64
_pc2_set1_b,8,0
_pc2_set1_w,16,0
_pc2_set1_dw,32,0
_pc2_set1_qw,64,0
_pc2_set1_hf,16,0
_pc2_set1_f,32,0
_pc2_set1_df,64,0
_pc2_move_b,8,0
_pc2_move_w,16,0
_pc2_move_dw,32,0
_pc2_move_qw,64,0
_pc2_move_hf,16,0
_pc2_move_f,32,0
_pc2_move_df,64,0
